Outer Key,Inner Key (Tuple),Value
1500,"(1, 1)","['AL', -1.5164694734769335]"
1500,"(1, 2)","['AL', -1.5939832468805362]"
1500,"(1, 3)","['AR', -0.800139044162958]"
1500,"(1, 4)","['AD', 0.8188121705475959]"
1500,"(2, 0)","['AU', -0.3879327064086385]"
1500,"(2, 4)","['AD', 1.720688979973105]"
1500,"(3, 0)","['AU', -0.31132194642722355]"
1500,"(3, 1)","['AL', -1.2578113613605388]"
1500,"(3, 3)","['AR', 3.096027877906319]"
1500,"(3, 4)","['AR', 4.299551272028554]"
1500,"(4, 0)","['AL', -1.2635255490277533]"
1500,"(4, 1)","['AU', -2.126114926168694]"
1500,"(4, 2)","['AR', 1.4444571560062898]"
1500,"(4, 3)","['AR', 2.3917763594667334]"
1750,"(0, 0)","['AL', -0.0500749111613774]"
1750,"(0, 1)","['AL', -0.608450503113373]"
1750,"(0, 2)","['AL', -0.8876840480428824]"
1750,"(0, 3)","['AD', -0.6719930640882827]"
1750,"(0, 4)","['AD', -0.4847438558934422]"
1750,"(1, 0)","['AU', -1.1821606633724198]"
1750,"(1, 1)","['AL', -1.5486757686332362]"
1750,"(1, 2)","['AL', -1.6866869157353346]"
1750,"(1, 3)","['AR', -0.8004169621596358]"
1750,"(1, 4)","['AD', 0.8285468352627748]"
1750,"(2, 0)","['AU', -0.42651516373549264]"
1750,"(2, 4)","['AD', 1.7296651082449344]"
1750,"(3, 0)","['AU', -0.3707389020837805]"
1750,"(3, 1)","['AL', -1.3399208498619712]"
1750,"(3, 3)","['AR', 3.331726519624878]"
1750,"(3, 4)","['AR', 4.301559164153343]"
1750,"(4, 0)","['AL', -1.394279470179484]"
1750,"(4, 1)","['AU', -2.227914323340876]"
1750,"(4, 2)","['AR', 1.5691665752080632]"
1750,"(4, 3)","['AR', 2.4242289460520015]"
2000,"(0, 0)","['AL', -0.06383944988449233]"
2000,"(0, 1)","['AL', -0.6558245879315384]"
2000,"(0, 2)","['AL', -0.9802322572365152]"
2000,"(0, 3)","['AD', -0.7196895826930667]"
2000,"(0, 4)","['AD', -0.47535262592463695]"
2000,"(1, 0)","['AU', -1.1956678780620427]"
2000,"(1, 1)","['AL', -1.5778777238137214]"
2000,"(1, 2)","['AL', -1.7832577541296788]"
