Outer Key,Inner Key (Tuple),Value
1500,"(1, 3)","['AR', 0.11101901750813854]"
1500,"(1, 4)","['AD', 5.406862801089831]"
1500,"(2, 0)","['AU', -7.235736640599435]"
1500,"(2, 4)","['AD', 8.00458155718558]"
1500,"(3, 0)","['AU', -8.079147952429489]"
1500,"(3, 1)","['AL', -10.322656007897619]"
1500,"(3, 3)","['AD', 6.087805496693317]"
1500,"(3, 4)","['AD', 8.928354952772796]"
1500,"(4, 0)","['AL', -10.501969289821407]"
1500,"(4, 1)","['AU', -10.323634104518119]"
1500,"(4, 2)","['AR', 7.379234697438062]"
1500,"(4, 3)","['AR', 8.955040317254026]"
1750,"(0, 0)","['AL', -7.124763282702197]"
1750,"(0, 1)","['AL', -7.1822506727859885]"
1750,"(0, 2)","['AL', -7.71109590366764]"
1750,"(0, 3)","['AD', -3.3430339470765853]"
1750,"(0, 4)","['AD', -0.021623726255904165]"
1750,"(1, 0)","['AU', -6.962555409716083]"
1750,"(1, 1)","['AL', -7.157946430656427]"
1750,"(1, 2)","['AL', -7.401022311858756]"
1750,"(1, 3)","['AR', 0.12697439923926793]"
1750,"(1, 4)","['AD', 5.410301998377112]"
1750,"(2, 0)","['AU', -7.205527574633952]"
1750,"(2, 4)","['AD', 8.014778562306862]"
1750,"(3, 0)","['AU', -8.034668937527007]"
1750,"(3, 1)","['AL', -10.34990698060296]"
1750,"(3, 3)","['AD', 6.189377609100125]"
1750,"(3, 4)","['AD', 8.930813009527999]"
1750,"(4, 0)","['AL', -10.309234631022381]"
1750,"(4, 1)","['AU', -10.249463359628438]"
1750,"(4, 2)","['AR', 7.474927869322003]"
1750,"(4, 3)","['AR', 8.95699048630282]"
2000,"(0, 0)","['AU', -6.876367671099272]"
2000,"(0, 1)","['AL', -7.193903766257567]"
2000,"(0, 2)","['AL', -7.490856743130014]"
2000,"(0, 3)","['AD', -3.0805725279517016]"
2000,"(0, 4)","['AD', 0.16401121459271342]"
2000,"(1, 0)","['AU', -6.9526432984596]"
2000,"(1, 1)","['AL', -7.166673349426817]"
2000,"(1, 2)","['AL', -7.354806168955062]"
2000,"(1, 3)","['AR', 0.18309796707435047]"
