Outer Key,Inner Key (Tuple),Value
1500,"(1, 1)","['AD', -0.9711551841263866]"
1500,"(1, 2)","['AD', -0.9994923852526855]"
1500,"(1, 3)","['AR', 0.7060491046179017]"
1500,"(1, 4)","['AD', 2.4843499448902278]"
1500,"(2, 0)","['AU', -0.33179809682156486]"
1500,"(2, 4)","['AD', 3.3708378353438633]"
1500,"(3, 0)","['AU', -0.3754835096148455]"
1500,"(3, 1)","['AL', -1.1550194975446855]"
1500,"(3, 3)","['AD', 7.720751333769386]"
1500,"(3, 4)","['AL', 7.465305562636194]"
1500,"(4, 0)","['AL', -1.2730583764167285]"
1500,"(4, 1)","['AR', 0.6660468773015488]"
1500,"(4, 2)","['AR', 2.8199749777418734]"
1500,"(4, 3)","['AR', 9.13143943970326]"
1750,"(0, 0)","['AD', -0.1584320370918217]"
1750,"(0, 1)","['AL', -0.565987801489265]"
1750,"(0, 2)","['AL', -0.9161330734983568]"
1750,"(0, 3)","['AD', -0.38804582884054606]"
1750,"(0, 4)","['AD', 0.16283257219777572]"
1750,"(1, 0)","['AU', -0.7889666689570032]"
1750,"(1, 1)","['AD', -1.0013494917653292]"
1750,"(1, 2)","['AD', -1.039625739227773]"
1750,"(1, 3)","['AR', 0.7066769857117852]"
1750,"(1, 4)","['AD', 2.4889298562168474]"
1750,"(2, 0)","['AU', -0.37282269265085216]"
1750,"(2, 4)","['AD', 3.379716347988714]"
1750,"(3, 0)","['AL', -0.42703269785357983]"
1750,"(3, 1)","['AL', -1.255695744935401]"
1750,"(3, 3)","['AD', 7.722746340432076]"
1750,"(3, 4)","['AL', 7.465962755813784]"
1750,"(4, 0)","['AL', -1.341788246669984]"
1750,"(4, 1)","['AR', 0.7208013038076295]"
1750,"(4, 2)","['AR', 2.86742212047566]"
1750,"(4, 3)","['AR', 9.132704488896776]"
2000,"(0, 0)","['AL', -0.18134840785917117]"
2000,"(0, 1)","['AL', -0.5939341408955051]"
2000,"(0, 2)","['AL', -0.9955361296230116]"
2000,"(0, 3)","['AD', -0.3672669619540153]"
2000,"(0, 4)","['AD', 0.20057954234398426]"
2000,"(1, 0)","['AU', -0.8012935806747644]"
2000,"(1, 1)","['AL', -1.026858981245611]"
2000,"(1, 2)","['AD', -1.08726775854508]"
2000,"(1, 3)","['AR', 0.7060603416490409]"
2000,"(1, 4)","['AD', 2.496859669322403]"
2000,"(2, 0)","['AU', -0.41602544698013305]"
2000,"(2, 4)","['AD', 3.3925510321801173]"
2000,"(3, 0)","['AU', -0.46181742102585904]"
2000,"(3, 1)","['AL', -1.3597851550097613]"
2000,"(3, 3)","['AD', 7.725025001601209]"
2000,"(3, 4)","['AL', 7.471905852657151]"
2000,"(4, 0)","['AL', -1.4083282005887054]"
2000,"(4, 1)","['AR', 0.7712638950352363]"
2000,"(4, 2)","['AR', 2.914417160387553]"
2000,"(4, 3)","['AR', 9.13420026721649]"
2250,"(0, 0)","['AD', -0.20597507138935836]"
2250,"(0, 1)","['AL', -0.6286115473481901]"
2250,"(0, 2)","['AD', -1.072507642086191]"
2250,"(0, 3)","['AD', -0.405638879154274]"
2250,"(0, 4)","['AD', 0.2326886531602256]"
2250,"(1, 0)","['AU', -0.8145219802591336]"
2250,"(1, 1)","['AD', -1.0490235948744524]"
2250,"(1, 2)","['AL', -1.129891409055606]"
2250,"(1, 3)","['AR', 0.7018977023891129]"
2250,"(1, 4)","['AD', 2.507801522699816]"
2250,"(2, 0)","['AU', -0.4554168738474494]"
2250,"(2, 4)","['AD', 3.4035035214855998]"
2250,"(3, 0)","['AL', -0.501699209410262]"
2250,"(3, 1)","['AL', -1.4363814591145194]"
2250,"(3, 3)","['AD', 7.728592994031369]"
2250,"(3, 4)","['AL', 7.46800217420332]"
2250,"(4, 0)","['AL', -1.4782639631227283]"
2250,"(4, 1)","['AR', 0.8306271383685335]"
2250,"(4, 2)","['AR', 2.9584851825108336]"
2250,"(4, 3)","['AR', 9.136643553330028]"
2500,"(0, 0)","['AD', -0.23215257607353174]"
2500,"(0, 1)","['AL', -0.656955620000309]"
2500,"(0, 2)","['AL', -1.1351860615797045]"
2500,"(0, 3)","['AD', -0.3976880143870306]"
2500,"(0, 4)","['AD', 0.2761476463369939]"
2500,"(1, 0)","['AU', -0.8255973553226744]"
2500,"(1, 1)","['AD', -1.0723044652591398]"
2500,"(1, 2)","['AD', -1.1605865468058185]"
2500,"(1, 3)","['AR', 0.7093510530252616]"
2500,"(1, 4)","['AD', 2.5164991498377374]"
2500,"(2, 0)","['AU', -0.49040389678967067]"
2500,"(2, 4)","['AD', 3.417793142343779]"
2500,"(3, 0)","['AU', -0.5403279421898585]"
2500,"(3, 1)","['AL', -1.5050333755403986]"
2500,"(3, 3)","['AD', 7.7356429076209965]"
2500,"(3, 4)","['AL', 7.474907042412348]"
2500,"(4, 0)","['AL', -1.547131137345616]"
2500,"(4, 1)","['AR', 0.9138709365519926]"
2500,"(4, 2)","['AR', 3.0080404969116104]"
2500,"(4, 3)","['AR', 9.137173168814996]"
2750,"(0, 0)","['AL', -0.255747807049851]"
2750,"(0, 1)","['AL', -0.6808288876900203]"
2750,"(0, 2)","['AL', -1.1945578549111755]"
2750,"(0, 3)","['AD', -0.3868524880408301]"
2750,"(0, 4)","['AD', 0.3204290566033717]"
2750,"(1, 0)","['AU', -0.8354388530689122]"
2750,"(1, 1)","['AD', -1.0873501142459243]"
2750,"(1, 2)","['AD', -1.1861762256616095]"
2750,"(1, 3)","['AR', 0.7163656921941749]"
2750,"(1, 4)","['AD', 2.5266018932306435]"
2750,"(2, 0)","['AU', -0.5209400819510286]"
2750,"(2, 4)","['AD', 3.430075396434453]"
2750,"(3, 0)","['AL', -0.5745601414633054]"
2750,"(3, 1)","['AL', -1.5763462142532179]"
2750,"(3, 3)","['AD', 7.744012665270807]"
2750,"(3, 4)","['AL', 7.477501670625694]"
2750,"(4, 0)","['AL', -1.5944996281462744]"
2750,"(4, 1)","['AR', 0.9840154559337809]"
2750,"(4, 2)","['AR', 3.053319954037331]"
2750,"(4, 3)","['AR', 9.138352013880366]"
3000,"(0, 0)","['AL', -0.279285704872642]"
3000,"(0, 1)","['AL', -0.7034085756201276]"
3000,"(0, 2)","['AL', -1.2404157877477842]"
3000,"(0, 3)","['AD', -0.37716343742251296]"
3000,"(0, 4)","['AD', 0.3857469600748884]"
3000,"(1, 0)","['AU', -0.8445474329468848]"
3000,"(1, 1)","['AD', -1.0987427083439858]"
3000,"(1, 2)","['AD', -1.223391115064309]"
3000,"(1, 3)","['AR', 0.7261957745564399]"
3000,"(1, 4)","['AD', 2.535226632346697]"
3000,"(2, 0)","['AU', -0.5493564288586746]"
3000,"(2, 4)","['AD', 3.4445373070404743]"
3000,"(3, 0)","['AL', -0.6034343297766789]"
3000,"(3, 1)","['AL', -1.6076180331966217]"
3000,"(3, 3)","['AD', 7.750180046036271]"
3000,"(3, 4)","['AL', 7.483458151949752]"
3000,"(4, 0)","['AL', -1.6364763619093092]"
3000,"(4, 1)","['AR', 1.0431212259857177]"
3000,"(4, 2)","['AR', 3.096242031330015]"
3000,"(4, 3)","['AR', 9.140092841723579]"
3250,"(0, 0)","['AD', -0.30125244600248446]"
3250,"(0, 1)","['AL', -0.7265986506691129]"
3250,"(0, 2)","['AL', -1.281223712207101]"
3250,"(0, 3)","['AD', -0.35094781441331707]"
3250,"(0, 4)","['AD', 0.4376236902126715]"
3250,"(1, 0)","['AU', -0.854151494691062]"
3250,"(1, 1)","['AD', -1.1095665867685973]"
3250,"(1, 2)","['AD', -1.2319772215999423]"
3250,"(1, 3)","['AR', 0.73724607529726]"
3250,"(1, 4)","['AD', 2.5469292767385543]"
3250,"(2, 0)","['AU', -0.5757064863048214]"
3250,"(2, 4)","['AD', 3.457026644929251]"
3250,"(3, 0)","['AU', -0.631026250394935]"
3250,"(3, 1)","['AL', -1.6550063296499704]"
3250,"(3, 3)","['AD', 7.758863390426167]"
3250,"(3, 4)","['AL', 7.491145896639056]"
3250,"(4, 0)","['AL', -1.6738511656876445]"
3250,"(4, 1)","['AR', 1.0891307159825463]"
3250,"(4, 2)","['AR', 3.137497690504759]"
3250,"(4, 3)","['AR', 9.140799003972198]"
3500,"(0, 0)","['AU', -0.32239697098798514]"
3500,"(0, 1)","['AL', -0.7468072998007347]"
3500,"(0, 2)","['AL', -1.3202754093868925]"
3500,"(0, 3)","['AD', -0.3095576919278584]"
3500,"(0, 4)","['AD', 0.49896895454922463]"
3500,"(1, 0)","['AU', -0.8615070480560989]"
3500,"(1, 1)","['AD', -1.120730597465918]"
3500,"(1, 2)","['AD', -1.2444294876295008]"
3500,"(1, 3)","['AR', 0.7466500016982109]"
3500,"(1, 4)","['AD', 2.5605899574992574]"
3500,"(2, 0)","['AU', -0.5982737956064199]"
3500,"(2, 4)","['AD', 3.47226881172718]"
3500,"(3, 0)","['AL', -0.6624907541913103]"
3500,"(3, 1)","['AL', -1.7066578508867012]"
3500,"(3, 3)","['AD', 7.768109292730761]"
3500,"(3, 4)","['AL', 7.498594926712992]"
3500,"(4, 0)","['AL', -1.7121314325561714]"
3500,"(4, 1)","['AR', 1.159853834606615]"
3500,"(4, 2)","['AR', 3.1817361161244087]"
3500,"(4, 3)","['AR', 9.143087249839416]"
3750,"(0, 0)","['AR', -0.3432394065644553]"
3750,"(0, 1)","['AL', -0.7645115519909285]"
3750,"(0, 2)","['AL', -1.3656789660797202]"
3750,"(0, 3)","['AD', -0.28550169375265483]"
3750,"(0, 4)","['AD', 0.5473543097418018]"
3750,"(1, 0)","['AU', -0.8676276616127585]"
3750,"(1, 1)","['AD', -1.129204749557117]"
3750,"(1, 2)","['AD', -1.251484857733556]"
3750,"(1, 3)","['AR', 0.7578633369378507]"
3750,"(1, 4)","['AD', 2.572882052325898]"
3750,"(2, 0)","['AU', -0.618056006302526]"
3750,"(2, 4)","['AD', 3.4859590451262967]"
3750,"(3, 0)","['AU', -0.6889518696973387]"
3750,"(3, 1)","['AU', -1.736745680625253]"
3750,"(3, 3)","['AD', 7.776061977845776]"
3750,"(3, 4)","['AL', 7.505934837091985]"
3750,"(4, 0)","['AL', -1.7529129936493744]"
3750,"(4, 1)","['AR', 1.2251524773935631]"
3750,"(4, 2)","['AR', 3.2216830262726535]"
3750,"(4, 3)","['AR', 9.14434985583967]"
4000,"(0, 0)","['AD', -0.3613184075930174]"
4000,"(0, 1)","['AL', -0.7838858992874697]"
4000,"(0, 2)","['AL', -1.3961461717938872]"
4000,"(0, 3)","['AD', -0.25345815583357456]"
4000,"(0, 4)","['AD', 0.6001696412445992]"
4000,"(1, 0)","['AU', -0.8760008021947151]"
4000,"(1, 1)","['AD', -1.1424247647272365]"
4000,"(1, 2)","['AD', -1.2586090775279697]"
4000,"(1, 3)","['AR', 0.7750744361195332]"
4000,"(1, 4)","['AD', 2.5858775584847815]"
4000,"(2, 0)","['AU', -0.6374703368297523]"
4000,"(2, 4)","['AD', 3.501085638635337]"
4000,"(3, 0)","['AU', -0.7113609786298194]"
4000,"(3, 1)","['AL', -1.77708770701186]"
4000,"(3, 3)","['AD', 7.783790411851593]"
4000,"(3, 4)","['AL', 7.512628264316169]"
4000,"(4, 0)","['AL', -1.789817378865162]"
4000,"(4, 1)","['AR', 1.2738612438040204]"
4000,"(4, 2)","['AR', 3.260476736446475]"
4000,"(4, 3)","['AR', 9.146672166314827]"
4250,"(0, 0)","['AL', -0.3774562825780874]"
4250,"(0, 1)","['AL', -0.8047881467161867]"
4250,"(0, 2)","['AL', -1.4239066208703095]"
4250,"(0, 3)","['AD', -0.2189284132359652]"
4250,"(0, 4)","['AD', 0.6534646719932059]"
4250,"(1, 0)","['AU', -0.8816016209495484]"
4250,"(1, 1)","['AD', -1.1505970293829577]"
4250,"(1, 2)","['AD', -1.2494699486747363]"
4250,"(1, 3)","['AR', 0.7908631819782946]"
4250,"(1, 4)","['AD', 2.5989847789704212]"
4250,"(2, 0)","['AU', -0.6545632464133219]"
4250,"(2, 4)","['AD', 3.5165318645989516]"
4250,"(3, 0)","['AU', -0.7328520931454091]"
4250,"(3, 1)","['AL', -1.7858019730579464]"
4250,"(3, 3)","['AD', 7.792116399491469]"
4250,"(3, 4)","['AL', 7.520293173612038]"
4250,"(4, 0)","['AL', -1.8109802537993416]"
4250,"(4, 1)","['AR', 1.3488918506297287]"
4250,"(4, 2)","['AR', 3.3051225836599873]"
4250,"(4, 3)","['AR', 9.148109632509017]"
4500,"(0, 0)","['AL', -0.39052613075475195]"
4500,"(0, 1)","['AL', -0.8201631152915625]"
4500,"(0, 2)","['AL', -1.4528566402491985]"
4500,"(0, 3)","['AD', -0.17780472750164666]"
4500,"(0, 4)","['AD', 0.7091299857342289]"
4500,"(1, 0)","['AU', -0.8863682629719584]"
4500,"(1, 1)","['AD', -1.1594288029911612]"
4500,"(1, 2)","['AD', -1.2549846993971758]"
4500,"(1, 3)","['AR', 0.8073986555831697]"
4500,"(1, 4)","['AD', 2.6116178852758765]"
4500,"(2, 0)","['AU', -0.6683674011799098]"
4500,"(2, 4)","['AD', 3.529218310724739]"
4500,"(3, 0)","['AU', -0.750276318164856]"
4500,"(3, 1)","['AL', -1.8051086709407]"
4500,"(3, 3)","['AD', 7.802268034240533]"
4500,"(3, 4)","['AL', 7.526966719721716]"
4500,"(4, 0)","['AL', -1.8218681704419069]"
4500,"(4, 1)","['AR', 1.4099300158363783]"
4500,"(4, 2)","['AR', 3.3458236350065187]"
4500,"(4, 3)","['AR', 9.150448248086027]"
4750,"(0, 0)","['AR', -0.4071597826007657]"
4750,"(0, 1)","['AL', -0.8349451030563002]"
4750,"(0, 2)","['AL', -1.4731002366282466]"
4750,"(0, 3)","['AD', -0.1443483047914996]"
4750,"(0, 4)","['AD', 0.7518125843955317]"
4750,"(1, 0)","['AU', -0.8908132228224421]"
4750,"(1, 1)","['AL', -1.165502458214954]"
4750,"(1, 2)","['AD', -1.25085499268599]"
4750,"(1, 3)","['AR', 0.8259504135224977]"
4750,"(1, 4)","['AD', 2.6278728275684573]"
4750,"(2, 0)","['AU', -0.6783144540566005]"
4750,"(2, 4)","['AD', 3.545243802643317]"
4750,"(3, 0)","['AU', -0.772219510340933]"
4750,"(3, 1)","['AL', -1.8281659986787753]"
4750,"(3, 3)","['AD', 7.811238417544227]"
4750,"(3, 4)","['AL', 7.533333337493145]"
4750,"(4, 0)","['AL', -1.836924579757552]"
4750,"(4, 1)","['AR', 1.4688225506309727]"
4750,"(4, 2)","['AR', 3.3843956128320194]"
4750,"(4, 3)","['AR', 9.152388481776386]"
5000,"(0, 0)","['AD', -0.42146499362862005]"
5000,"(0, 1)","['AL', -0.8456979243211483]"
5000,"(0, 2)","['AL', -1.4956303127654709]"
5000,"(0, 3)","['AD', -0.10369881396751311]"
5000,"(0, 4)","['AD', 0.8138979923947144]"
5000,"(1, 0)","['AU', -0.8950441301501408]"
5000,"(1, 1)","['AD', -1.169262385289833]"
5000,"(1, 2)","['AD', -1.243592171453317]"
5000,"(1, 3)","['AR', 0.8440301341130921]"
5000,"(1, 4)","['AD', 2.6423001634718046]"
5000,"(2, 0)","['AU', -0.6925644274235131]"
5000,"(2, 4)","['AD', 3.5611280186662504]"
5000,"(3, 0)","['AU', -0.7863585103719569]"
5000,"(3, 1)","['AL', -1.8474436886627978]"
5000,"(3, 3)","['AD', 7.8211913782151425]"
5000,"(3, 4)","['AL', 7.540113545985436]"
5000,"(4, 0)","['AL', -1.849258304279671]"
5000,"(4, 1)","['AR', 1.5379413453724946]"
5000,"(4, 2)","['AR', 3.4250179476176252]"
5000,"(4, 3)","['AR', 9.154940451799632]"
5250,"(0, 0)","['AD', -0.4326753326573767]"
5250,"(0, 1)","['AL', -0.8573783280187134]"
5250,"(0, 2)","['AL', -1.5242595098634995]"
5250,"(0, 3)","['AD', -0.06554864759594373]"
5250,"(0, 4)","['AD', 0.8584934092696752]"
5250,"(1, 0)","['AU', -0.8998916391209386]"
5250,"(1, 1)","['AL', -1.176712499379754]"
5250,"(1, 2)","['AD', -1.2382911872491602]"
5250,"(1, 3)","['AR', 0.8639801674381206]"
5250,"(1, 4)","['AD', 2.657496681439851]"
5250,"(2, 0)","['AU', -0.7015750278646532]"
5250,"(2, 4)","['AD', 3.5758296495629915]"
5250,"(3, 0)","['AL', -0.7964702559166805]"
5250,"(3, 1)","['AL', -1.8561457293948584]"
5250,"(3, 3)","['AD', 7.831443520373864]"
5250,"(3, 4)","['AL', 7.54751749264536]"
5250,"(4, 0)","['AL', -1.8641185776581222]"
5250,"(4, 1)","['AR', 1.5990075378310105]"
5250,"(4, 2)","['AR', 3.4629812568308607]"
5250,"(4, 3)","['AR', 9.15788775654487]"
5500,"(0, 0)","['AD', -0.4430060481301349]"
5500,"(0, 1)","['AL', -0.8732293035424482]"
5500,"(0, 2)","['AL', -1.5418316192728136]"
5500,"(0, 3)","['AD', -0.03305329922718973]"
5500,"(0, 4)","['AD', 0.9177088249209935]"
5500,"(1, 0)","['AU', -0.9053471337709333]"
5500,"(1, 1)","['AD', -1.1775800679031647]"
5500,"(1, 2)","['AD', -1.235202926062557]"
5500,"(1, 3)","['AR', 0.8868069479396206]"
5500,"(1, 4)","['AD', 2.6731053576308423]"
5500,"(2, 0)","['AU', -0.710579814590128]"
5500,"(2, 4)","['AD', 3.5935902085256397]"
5500,"(3, 0)","['AU', -0.8160574558044257]"
5500,"(3, 1)","['AL', -1.8590908645006463]"
5500,"(3, 3)","['AD', 7.839852464811062]"
5500,"(3, 4)","['AL', 7.555259898839591]"
5500,"(4, 0)","['AL', -1.8803378672669917]"
5500,"(4, 1)","['AR', 1.6560952835037965]"
5500,"(4, 2)","['AR', 3.504163690394894]"
5500,"(4, 3)","['AR', 9.160188678798736]"
5750,"(0, 0)","['AL', -0.4559199702441495]"
5750,"(0, 1)","['AL', -0.8811776291248058]"
5750,"(0, 2)","['AL', -1.5519526613548875]"
5750,"(0, 3)","['AD', 0.00803513701624038]"
5750,"(0, 4)","['AD', 0.9873379106170984]"
5750,"(1, 0)","['AL', -0.908458458701495]"
5750,"(1, 1)","['AD', -1.181438047514529]"
5750,"(1, 2)","['AD', -1.2309105714763684]"
5750,"(1, 3)","['AR', 0.9015477544778479]"
5750,"(1, 4)","['AD', 2.6870119640618153]"
5750,"(2, 0)","['AU', -0.7218515485535253]"
5750,"(2, 4)","['AD', 3.608854036876739]"
5750,"(3, 0)","['AL', -0.8267886083628736]"
5750,"(3, 1)","['AL', -1.8684616901584594]"
5750,"(3, 3)","['AD', 7.848969296819577]"
5750,"(3, 4)","['AL', 7.561775713491317]"
5750,"(4, 0)","['AL', -1.8894107661839257]"
5750,"(4, 1)","['AR', 1.7049543093256407]"
5750,"(4, 2)","['AR', 3.541691648973973]"
5750,"(4, 3)","['AR', 9.162440158024951]"
6000,"(0, 0)","['AD', -0.46920790382242555]"
6000,"(0, 1)","['AL', -0.8906167407214266]"
6000,"(0, 2)","['AL', -1.5617539290166058]"
6000,"(0, 3)","['AD', 0.05219861451975448]"
6000,"(0, 4)","['AD', 1.047582180423293]"
6000,"(1, 0)","['AU', -0.9113295938331746]"
6000,"(1, 1)","['AD', -1.181091564574644]"
6000,"(1, 2)","['AD', -1.218707415113136]"
6000,"(1, 3)","['AR', 0.9209846314306783]"
6000,"(1, 4)","['AD', 2.7028085848992993]"
6000,"(2, 0)","['AU', -0.7287250107333713]"
6000,"(2, 4)","['AD', 3.622824805365138]"
6000,"(3, 0)","['AL', -0.8375332365960608]"
6000,"(3, 1)","['AL', -1.8678055495599253]"
6000,"(3, 3)","['AD', 7.859022982232798]"
6000,"(3, 4)","['AL', 7.569234331607177]"
6000,"(4, 0)","['AL', -1.8880324370097084]"
6000,"(4, 1)","['AR', 1.7568621184543551]"
6000,"(4, 2)","['AR', 3.5800273655766697]"
6000,"(4, 3)","['AR', 9.165148666191646]"
6250,"(0, 0)","['AD', -0.4790107348005974]"
6250,"(0, 1)","['AL', -0.8996893606109572]"
6250,"(0, 2)","['AL', -1.5720700515338633]"
6250,"(0, 3)","['AD', 0.08750365865714059]"
6250,"(0, 4)","['AD', 1.099836503987489]"
6250,"(1, 0)","['AU', -0.9127348770389215]"
