Outer Key,Inner Key (Tuple),Value
1500,"(1, 0)","['AU', -0.5292015850688916]"
1500,"(1, 1)","['AL', -0.6764727142271287]"
1500,"(1, 2)","['AL', -0.6252984568052989]"
1500,"(1, 3)","['AR', 0.08850592861025235]"
1500,"(1, 4)","['AD', 1.13957383027594]"
1500,"(2, 0)","['AU', -0.1264167218459105]"
1500,"(2, 4)","['AD', 1.4444022128938454]"
1500,"(3, 0)","['AU', -0.10360270333250464]"
1500,"(3, 1)","['AL', -0.46680070677656305]"
1500,"(3, 3)","['AR', 2.0855594125570533]"
1500,"(3, 4)","['AD', 2.8417114940847883]"
1500,"(4, 0)","['AL', -0.45612577672331034]"
1500,"(4, 1)","['AU', -0.9219834882797134]"
1500,"(4, 2)","['AR', 0.3137905370636302]"
1500,"(4, 3)","['AU', 6.106478982316307]"
1750,"(0, 0)","['AL', -0.047191389615892025]"
1750,"(0, 1)","['AL', -0.2753558477651283]"
1750,"(0, 2)","['AL', -0.32114630517645093]"
1750,"(0, 3)","['AD', -0.12866426422785818]"
1750,"(0, 4)","['AD', 0.06545672550356244]"
1750,"(1, 0)","['AU', -0.5361140179119184]"
1750,"(1, 1)","['AL', -0.6921755145098006]"
1750,"(1, 2)","['AL', -0.667907803850513]"
1750,"(1, 3)","['AR', 0.094645985725484]"
1750,"(1, 4)","['AD', 1.146914905864622]"
1750,"(2, 0)","['AU', -0.14142312202076332]"
1750,"(2, 4)","['AD', 1.4532511433167532]"
1750,"(3, 0)","['AU', -0.12158484515055437]"
1750,"(3, 1)","['AL', -0.5107582768845139]"
1750,"(3, 3)","['AR', 2.175033119138516]"
1750,"(3, 4)","['AD', 2.8523949319079063]"
1750,"(4, 0)","['AL', -0.5158875926273085]"
1750,"(4, 1)","['AU', -0.9794864786330935]"
1750,"(4, 2)","['AR', 0.34602039685464636]"
1750,"(4, 3)","['AU', 6.108856193201988]"
2000,"(0, 0)","['AL', -0.05458495439239157]"
2000,"(0, 1)","['AL', -0.292594852176303]"
2000,"(0, 2)","['AL', -0.36100028539538087]"
2000,"(0, 3)","['AD', -0.1276440885131654]"
2000,"(0, 4)","['AD', 0.09363995248220436]"
2000,"(1, 0)","['AU', -0.5435556638486747]"
