Outer Key,Inner Key (Tuple),Value
1500,"(1, 2)","['AR', 1.1722308936042105]"
1500,"(1, 3)","['AR', 2.8124453870995523]"
1500,"(1, 4)","['AD', 4.85645706921362]"
1500,"(2, 0)","['AU', -1.1584048326811827]"
1500,"(2, 4)","['AD', 5.614651189692203]"
1500,"(3, 0)","['AU', -1.6001939329197052]"
1500,"(3, 1)","['AL', -3.3201378072109846]"
1500,"(3, 3)","['AD', 8.96768633041806]"
1500,"(3, 4)","['AR', 6.346269720427563]"
1500,"(4, 0)","['AL', -1.1712181340221717]"
1500,"(4, 1)","['AR', 5.276598525608105]"
1500,"(4, 2)","['AR', 9.268623843804935]"
1500,"(4, 3)","['AR', 9.646945968733128]"
1750,"(0, 0)","['AL', -2.006127203966626]"
1750,"(0, 1)","['AL', -2.463325015104766]"
1750,"(0, 2)","['AL', -2.036604116312999]"
1750,"(0, 3)","['AD', -0.41358765132613395]"
1750,"(0, 4)","['AR', 2.144323451001851]"
1750,"(1, 0)","['AU', -1.9359442128808964]"
1750,"(1, 1)","['AL', -1.652664627697764]"
1750,"(1, 2)","['AR', 1.2729960528896749]"
1750,"(1, 3)","['AR', 2.8061042970162706]"
1750,"(1, 4)","['AD', 4.862738243475692]"
1750,"(2, 0)","['AU', -1.1082574720303668]"
1750,"(2, 4)","['AD', 5.61631318184724]"
1750,"(3, 0)","['AU', -1.5871958185697652]"
1750,"(3, 1)","['AL', -3.2860050714458873]"
1750,"(3, 3)","['AD', 8.978884106432632]"
1750,"(3, 4)","['AR', 6.354812646135361]"
1750,"(4, 0)","['AL', -1.1655537016106083]"
1750,"(4, 1)","['AR', 5.356330839618444]"
1750,"(4, 2)","['AR', 9.275607087770359]"
1750,"(4, 3)","['AR', 9.649309995801813]"
2000,"(0, 0)","['AL', -2.108052432470743]"
2000,"(0, 1)","['AL', -2.4689122936295114]"
2000,"(0, 2)","['AL', -1.9888516083605554]"
2000,"(0, 3)","['AD', -0.05909231805647291]"
2000,"(0, 4)","['AR', 2.1720688773765686]"
2000,"(1, 0)","['AU', -1.935910206421153]"
2000,"(1, 1)","['AL', -1.6479737823351832]"
2000,"(1, 2)","['AR', 1.3361514693712695]"
2000,"(1, 3)","['AR', 2.8198595738612613]"
2000,"(1, 4)","['AD', 4.863727727860534]"
2000,"(2, 0)","['AU', -1.1308487930481688]"
2000,"(2, 4)","['AD', 5.618230236680017]"
2000,"(3, 0)","['AU', -1.5036420134243127]"
2000,"(3, 1)","['AL', -3.292384357969178]"
2000,"(3, 3)","['AD', 8.996679794433986]"
2000,"(3, 4)","['AR', 6.361262100331706]"
2000,"(4, 0)","['AL', -1.2224880031250889]"
2000,"(4, 1)","['AR', 5.39621789480446]"
2000,"(4, 2)","['AR', 9.284222047408424]"
2000,"(4, 3)","['AR', 9.649976976253816]"
2250,"(0, 0)","['AL', -2.1674959031027345]"
2250,"(0, 1)","['AL', -2.463985476475931]"
2250,"(0, 2)","['AL', -1.965580956932965]"
2250,"(0, 3)","['AD', 0.150971652626961]"
2250,"(0, 4)","['AR', 2.255054859208146]"
2250,"(1, 0)","['AU', -1.933422618571867]"
2250,"(1, 1)","['AL', -1.6540526952570178]"
2250,"(1, 2)","['AR', 1.4078300648365447]"
2250,"(1, 3)","['AR', 2.822931126784515]"
2250,"(1, 4)","['AD', 4.871483649823327]"
2250,"(2, 0)","['AU', -1.0739790704759713]"
2250,"(2, 4)","['AD', 5.621287469005539]"
2250,"(3, 0)","['AU', -1.544909421960428]"
2250,"(3, 1)","['AL', -3.262709946931831]"
2250,"(3, 3)","['AD', 9.018634450498949]"
2250,"(3, 4)","['AR', 6.3701498439837945]"
2250,"(4, 0)","['AL', -1.1856094564625226]"
2250,"(4, 1)","['AR', 5.456718280031047]"
2250,"(4, 2)","['AR', 9.294621141430008]"
2250,"(4, 3)","['AR', 9.649646100042995]"
2500,"(0, 0)","['AR', -2.155057710080372]"
2500,"(0, 1)","['AL', -2.4669404058763513]"
2500,"(0, 2)","['AL', -1.9472123339496106]"
2500,"(0, 3)","['AD', 0.2760351178715919]"
2500,"(0, 4)","['AR', 2.3538887092243885]"
