Outer Key,Inner Key (Tuple),Value
1250,"(4, 0)","['AL', 0.17379404202659188]"
1250,"(4, 1)","['AD', 0.7492489666649232]"
1250,"(4, 2)","['AU', 1.3617376306823807]"
1250,"(4, 3)","['AU', 1.5506863105978776]"
1500,"(0, 0)","['AD', -0.044423025355242465]"
1500,"(0, 1)","['AD', -0.24923933495359085]"
1500,"(0, 2)","['AD', -0.5164568372198416]"
1500,"(0, 3)","['AD', -0.0019980063015592408]"
1500,"(0, 4)","['AD', 0.4771016878839557]"
1500,"(1, 0)","['AD', 0.09156145090893682]"
1500,"(1, 1)","['AD', 0.09466876526219836]"
1500,"(1, 2)","['AL', -0.349673981152311]"
1500,"(1, 3)","['AD', 1.4967207721673448]"
1500,"(1, 4)","['AD', 1.862401807267841]"
1500,"(2, 0)","['AR', 0.179420817148854]"
1500,"(2, 1)","['AD', 0.285797736068769]"
1500,"(2, 3)","['AR', 4.800300805978386]"
1500,"(2, 4)","['AD', 5.279665024354356]"
1500,"(3, 0)","['AR', 0.349164249944593]"
1500,"(3, 1)","['AD', 0.3537961180401127]"
1500,"(3, 3)","['AL', 2.1646888023800264]"
1500,"(3, 4)","['AR', 5.813618097940698]"
1500,"(4, 0)","['AL', 0.17368829550967937]"
1500,"(4, 1)","['AD', 0.7489207944233545]"
1500,"(4, 2)","['AU', 1.3620834288538373]"
1500,"(4, 3)","['AU', 1.5848636250656396]"
1750,"(0, 0)","['AD', -0.03183800037722314]"
1750,"(0, 1)","['AD', -0.2676536853290946]"
1750,"(0, 2)","['AD', -0.5610820298806947]"
1750,"(0, 3)","['AD', 0.041003791155083756]"
1750,"(0, 4)","['AD', 0.5622189128542717]"
1750,"(1, 0)","['AD', 0.0954405142241504]"
1750,"(1, 1)","['AD', 0.09532382168941415]"
1750,"(1, 2)","['AL', -0.34751000498689183]"
1750,"(1, 3)","['AD', 1.5215298226880152]"
1750,"(1, 4)","['AD', 1.884268409367138]"
1750,"(2, 0)","['AR', 0.1802619245807361]"
1750,"(2, 1)","['AD', 0.28669819130420116]"
1750,"(2, 3)","['AR', 4.804739737451904]"
1750,"(2, 4)","['AD', 5.275192625436529]"
1750,"(3, 0)","['AR', 0.35565964389864013]"
1750,"(3, 1)","['AD', 0.3542117730136995]"
1750,"(3, 3)","['AL', 2.208425097259193]"
1750,"(3, 4)","['AR', 5.811928320735332]"
1750,"(4, 0)","['AL', 0.16794810344722944]"
1750,"(4, 1)","['AD', 0.749673260658641]"
1750,"(4, 2)","['AU', 1.3620192937044329]"
1750,"(4, 3)","['AU', 1.6189086687898537]"
2000,"(0, 0)","['AD', -0.015315591966456679]"
2000,"(0, 1)","['AD', -0.26928462906918116]"
2000,"(0, 2)","['AD', -0.5836814356172261]"
