Outer Key,Inner Key (Tuple),Value
1500,"(3, 0)","['AD', 8.557455212624475]"
1500,"(3, 1)","['AD', 8.78850076430275]"
1500,"(3, 3)","['AD', 9.539858354639394]"
1500,"(3, 4)","['AL', 9.179130208495536]"
1500,"(4, 0)","['AR', 8.97577978236259]"
1500,"(4, 1)","['AR', 9.353482467948128]"
1500,"(4, 2)","['AR', 9.616013709987191]"
1500,"(4, 3)","['AR', 9.737337610671307]"
1750,"(0, 0)","['AD', -0.04209884042996814]"
1750,"(0, 1)","['AL', 5.5952696647864615]"
1750,"(0, 2)","['AD', 5.491950885687225]"
1750,"(0, 3)","['AD', 7.246043724280767]"
1750,"(0, 4)","['AD', 7.733571551637965]"
1750,"(1, 0)","['AD', 6.937543124130618]"
1750,"(1, 1)","['AL', 6.373795620558576]"
1750,"(1, 2)","['AR', 7.7241944049157105]"
1750,"(1, 3)","['AD', 8.95784691654168]"
1750,"(1, 4)","['AL', 8.45529208410394]"
1750,"(2, 0)","['AD', 8.100628003582134]"
1750,"(2, 1)","['AD', 7.763708149534908]"
1750,"(2, 3)","['AD', 9.395207687863993]"
1750,"(2, 4)","['AD', 8.411839529079426]"
1750,"(3, 0)","['AD', 8.560432949820617]"
1750,"(3, 1)","['AD', 8.795067767666009]"
1750,"(3, 3)","['AD', 9.540212597248193]"
1750,"(3, 4)","['AL', 9.182050136972274]"
1750,"(4, 0)","['AR', 8.977561385595433]"
1750,"(4, 1)","['AR', 9.35476022190158]"
1750,"(4, 2)","['AR', 9.616557681718572]"
1750,"(4, 3)","['AR', 9.737651575541557]"
2000,"(0, 0)","['AD', -0.005338416884727795]"
2000,"(0, 1)","['AL', 5.785277371248936]"
2000,"(0, 2)","['AD', 5.5766628934092415]"
2000,"(0, 3)","['AD', 7.354588943759428]"
2000,"(0, 4)","['AD', 7.789972835674508]"
2000,"(1, 0)","['AD', 6.949488125852993]"
2000,"(1, 1)","['AL', 6.471808097076521]"
2000,"(1, 2)","['AR', 7.7367108823891915]"
2000,"(1, 3)","['AD', 8.957995572376928]"
2000,"(1, 4)","['AL', 8.46656592534728]"
2000,"(2, 0)","['AD', 8.108245903100435]"
2000,"(2, 1)","['AD', 7.838633461137273]"
2000,"(2, 3)","['AD', 9.39673904118391]"
2000,"(2, 4)","['AD', 8.451561832713274]"
2000,"(3, 0)","['AD', 8.563837591792302]"
2000,"(3, 1)","['AD', 8.80449682137895]"
2000,"(3, 3)","['AD', 9.541399337424028]"
2000,"(3, 4)","['AL', 9.187858161591427]"
2000,"(4, 0)","['AR', 8.979385527047915]"
2000,"(4, 1)","['AR', 9.355826241618658]"
2000,"(4, 2)","['AR', 9.61759211938973]"
2000,"(4, 3)","['AR', 9.738021084955468]"
2250,"(0, 0)","['AD', -0.005249195779438893]"
2250,"(0, 1)","['AL', 5.918031851469291]"
2250,"(0, 2)","['AD', 5.719390338173084]"
2250,"(0, 3)","['AD', 7.465332720017763]"
2250,"(0, 4)","['AD', 7.824095615590996]"
2250,"(1, 0)","['AD', 6.968658195100044]"
2250,"(1, 1)","['AL', 6.548423625319395]"
2250,"(1, 2)","['AR', 7.733653268242541]"
2250,"(1, 3)","['AD', 8.96087449563032]"
2250,"(1, 4)","['AL', 8.474213868488587]"
2250,"(2, 0)","['AD', 8.114969449369504]"
2250,"(2, 1)","['AD', 7.90104568014953]"
2250,"(2, 3)","['AD', 9.397592896857395]"
2250,"(2, 4)","['AD', 8.497117118754922]"
2250,"(3, 0)","['AD', 8.567147320991515]"
2250,"(3, 1)","['AD', 8.80947277334575]"
2250,"(3, 3)","['AD', 9.542287013171695]"
2250,"(3, 4)","['AL', 9.195387249405352]"
2250,"(4, 0)","['AR', 8.982161182977949]"
2250,"(4, 1)","['AR', 9.357066024963736]"
2250,"(4, 2)","['AR', 9.618537324408308]"
2250,"(4, 3)","['AR', 9.738217674858106]"
2500,"(0, 0)","['AD', 0.10765354650565492]"
2500,"(0, 1)","['AL', 6.0304262978099015]"
2500,"(0, 2)","['AD', 5.855895316732954]"
2500,"(0, 3)","['AD', 7.525778989034582]"
2500,"(0, 4)","['AD', 7.9064768415964615]"
2500,"(1, 0)","['AD', 6.985237500867433]"
2500,"(1, 1)","['AL', 6.633838286348929]"
2500,"(1, 2)","['AR', 7.738478494290999]"
2500,"(1, 3)","['AD', 8.961640078007203]"
2500,"(1, 4)","['AL', 8.482076874698446]"
2500,"(2, 0)","['AD', 8.12095245299562]"
2500,"(2, 1)","['AD', 7.945564952702289]"
2500,"(2, 3)","['AD', 9.39895699974921]"
2500,"(2, 4)","['AD', 8.531008607853162]"
2500,"(3, 0)","['AD', 8.57143182741491]"
2500,"(3, 1)","['AD', 8.821680242877639]"
2500,"(3, 3)","['AD', 9.543574344301149]"
2500,"(3, 4)","['AL', 9.200907102629936]"
2500,"(4, 0)","['AR', 8.983123724327351]"
2500,"(4, 1)","['AR', 9.357366587252361]"
2500,"(4, 2)","['AR', 9.61933617746854]"
2500,"(4, 3)","['AR', 9.738525266330686]"
2750,"(0, 0)","['AD', 0.1509711751483449]"
2750,"(0, 1)","['AL', 6.133300531900428]"
2750,"(0, 2)","['AD', 5.964941705326441]"
